id,prato,weekday,components,preco_total,proteina,carboidrato,gorduras,fibra,calcio,ferro
1,"Bife a cavalo",Monday,"Carne bovina, Ovo branco, Arroz branco, Batata Inglesa, Alho, Cebola",20.00,28,10,14,0,40,2.7
2,"Macarrão a Bolonhesa",Monday,"Macarrão tipo II, Carne bovina moída, Extrato de Tomate, Alho, Cebola",15.00,18,45,12,4,50,3
3,"Peito de Frango com purê de batata",Sunday,"Peito de Frango, Batata Inglesa, Manteiga",17.60,30,35,10,3,40,1.5
4,"Abobrinha recheada com carne moída",Tuesday,"Abobrinha, Carne bovina moída, Alho, Cebola",12.60,20,10,8,3,60,2
5,"Feijoada tradicional",Tuesday,"Feijão preto, Linguiça tipo paio,Farinha de trigo, Bacon, Couve, Alho, Cebola",22.30,25,40,20,10,80,3.5
6,"Moela de Frango com polenta cremosa",Wednesday,"Moela de Frango,Polenta, Queijo tipo Frescal, Alho, Cebola",15.25,24,30,12,2,40,2
7,"Bisteca acebolada",Wednesday,"Bisteca de porco, Cebola, Alho, Arroz branco, Feijão preto",14.32,25,13,15,1,30,2.5
8,"Peixe grelhado com legumes",Thursday,"Filé de peixe, Cenoura, Abobrinha, Vagem, Cebola",19.56,28,12,6,5,60,1.8
9,"Salada de frango desfiado",Thursday,"Peito de frango, Cenoura, Maionese, Alface americana, Pão Sírio",17.36,22,10,8,4,50,1.5
10,"Sopa de ervilha",Sunday,"Ervilha, Bacon, Costela defumada, Cebola",16.35,12,30,5,8,40,2
11,"Sopa de legumes com macarrão",Friday,"Cebola, Tomate, Cenoura, Vagem, Carne bovina, Batata Inglesa, Mandioca, Macarrão, Salsa",13.56,10,25,4,6,35,1.5
12,"Filé de peixe assado",Friday,"Filé de peixe, Tomate, Cebola, Batata inglesa, Pimentão Vermelho, Coentro",26.32,26,2,5,0,40,1.5
13,"Abóbora refogada",Saturday,"Abóbora, Alho, Cebola, Cheiro-verde",9.36,15,20,1,7,40,1
14,"Salpicão saudável",Saturday,"Peito de Frango, Cenoura, Chuchu, Milho verde, Iogurte Natural,Alho poró",22.15,18,15,10,3,60,1.8
