id,type,message,createdAt,updatedAt,deletedAT
1,motivacional,"Quem come com sabedoria, colhe saúde e energia todo dia!",2024-06-23,2024-06-23,NULL
2,motivacional,"Cada escolha no seu prato é uma oportunidade para cultivar uma vida mais plena e feliz.",2024-06-23,2024-06-23,NULL
3,motivacional,"Alimentação saudável é um presente que você se dá hoje e o futuro agradece.",2024-06-23,2024-06-23,NULL
4,motivacional,"Em uma dieta consciente, a felicidade se faz presente!",2024-06-23,2024-06-23,NULL
5,motivacional,"Você já deve ter lido que seu corpo é seu templo, então saiba que a alimentação saudável é a chave para mantê-lo bem cuidado.",2024-06-23,2024-06-23,NULL
6,motivacional,"Comer com consciência é nutrir o corpo e a alma com amor, carinho e respeito por você.",2024-06-23,2024-06-23,NULL
7,motivacional,"Escolher alimentos saudáveis é você dizendo “eu te amo” para seu corpo.",2024-06-23,2024-06-23,NULL
8,motivacional,"Cultive uma relação de respeito e gratidão com a sua alimentação.",2024-06-23,2024-06-23,NULL
9,motivacional,"A alimentação saudável é a base sólida para construir uma vida de bem-estar e alegria.",2024-06-23,2024-06-23,NULL
10,motivacional,"Comer com sabedoria é nutrir o corpo e a mente com inteligência e equilíbrio.",2024-06-23,2024-06-23,NULL
11,motivacional,"De grão em grão, a alimentação saudável constrói uma vida plena e feliz.",2024-06-23,2024-06-23,NULL
12,motivacional,"Comer com moderação e sabedoria: o segredo para uma vida saudável e feliz.",2024-06-23,2024-06-23,NULL
13,login,"Mantenha o ritmo, continue utilizando o app para ter uma vida mais saudável",2024-06-23,2024-06-23,NULL
14,login,"Bom te ver de volta. Vamos connstruir uma vida saudável juntos?",2024-06-23,2024-06-23,NULL
15,login,"Você é um exemplo! Seu compromisso com a saúde é algo admirável",2024-06-23,2024-06-23,NULL
